op,g,ex,rm,ud,pf,66,67,fc,fpu,pm,uc,fb,w,d,sr,ar,nea,io,flds,mc,mnemonic,dw_mnemonic,alt_names,lck,rep,so,reg,m,copt1,copt2,copt3,gop1,gop2,gop3,f_tested,f_mod,f_def,f_undef,f_values,exceptions,description
00,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,ADD,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,,o..szapc,o..szapc,,,,Add
01,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,ADD,,,1,0,1,1,1,r/m16/32,r16/32,,Ev,Gv,,,o..szapc,o..szapc,,,,Add
02,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,ADD,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,,o..szapc,o..szapc,,,,Add
03,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,ADD,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,,o..szapc,o..szapc,,,,Add
04,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,ADD,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,o..szapc,o..szapc,,,,Add
05,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,ADD,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,,o..szapc,o..szapc,,,,Add
06,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,sr,,PUSH,,,0,0,0,0,0,,,,ES,,,,,,,,,Push ES register
07,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,sr,,POP,,,0,0,0,0,0,,,,ES,,,,,,,,,Pop ES register
08,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,OR,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
09,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,OR,,,1,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0A,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,OR,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0B,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,OR,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0C,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,OR,,,0,0,0,0,0,AL,imm8,,AL,Ib,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0D,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,OR,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,,o..szapc,o..sz.pc,.....a..,o....a.c,,Logical Inclusive OR
0E,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,sR,,PUSH,,,0,0,0,0,0,,,,CS,,,,,,,,,Push CS register
10,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,ADC,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,.......c,o..szapc,o..szapc,,,,
11,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,dW,,ADC,,,1,0,1,1,1,r/m16/32,r16/32,,Evqp,Gvqp,,.......c,o..szapc,o..szapc,,,,Add with carry flag
12,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,Dw,,ADC,,,0,0,1,1,1,r8,r/m8,,Gb,Eb,,.......c,o..szapc,o..szapc,,,,Add with carry flag
13,,,,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,DW,,ADC,,,0,0,1,1,1,r16/32,r/m16/32,,Gv,Ev,,.......c,o..szapc,o..szapc,,,,Add with carry flag
14,,,,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,w,,ADC,,,0,0,0,0,0,AL,imm8,,AL,Ib,,.......c,o..szapc,o..szapc,,,,Add with carry flag
15,,,,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,W,,ADC,,,0,0,0,0,0,AX,imm16/32,,eAX,Iv,,.......c,o..szapc,o..szapc,,,,Add with carry flag
16,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Sr,,PUSH,,,0,0,0,0,0,,,,SS,,,,,,,,,Push SS Register
17,,,,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Sr,,POP,,,0,0,0,0,0,,,,SS,,,,,,,,,Pop SS Register
18,,,,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,dw,,SBB,,,1,0,1,1,1,r/m8,r8,,Eb,Gb,,.......c,o..szapc,o..szapc,,,,Subtract with borrow
